,Unnamed: 0,date,currency,code,bid,ask
7607,7607.0,2018-08-28,b'dolar kanadyjski',CAD,2.7907,2.8471
7608,7608.0,2018-08-28,b'euro',EUR,4.225,4.3104
7609,7609.0,2018-08-28,b'forint (W\xc4\x99gry)',HUF,0.013049000000000002,0.013313
7610,7610.0,2018-08-28,b'frank szwajcarski',CHF,3.695,3.7696
7611,7611.0,2018-08-28,b'funt szterling',GBP,4.6531,4.7471
7612,7612.0,2018-08-28,b'jen (Japonia)',JPY,0.03244,0.033096
7613,7613.0,2018-08-28,b'korona czeska',CZK,0.1643,0.1677
7614,7614.0,2018-08-28,b'korona du\xc5\x84ska',DKK,0.5666,0.578
7615,7615.0,2018-08-28,b'korona norweska',NOK,0.4338,0.4426
7616,7616.0,2018-08-28,b'korona szwedzka',SEK,0.3953,0.4033
7617,7617.0,2018-08-28,b'SDR (MFW)',XDR,5.0788,5.1814
7618,7618.0,2018-02-23,b'dolar ameryka\xc5\x84ski',USD,3.3579,3.4257
7619,7619.0,2018-02-23,b'dolar australijski',AUD,2.6235,2.6765
7620,7620.0,2018-02-23,b'dolar kanadyjski',CAD,2.6464,2.6998
7621,7621.0,2018-02-23,b'euro',EUR,4.1317,4.2151
7622,7622.0,2018-02-23,b'forint (W\xc4\x99gry)',HUF,0.013206,0.013472
7623,7623.0,2018-02-23,b'frank szwajcarski',CHF,3.5869999999999997,3.6594
7624,7624.0,2018-02-23,b'funt szterling',GBP,4.6956,4.7904
7625,7625.0,2018-02-23,b'jen (Japonia)',JPY,0.031447,0.032083
7626,7626.0,2018-02-23,b'korona czeska',CZK,0.1631,0.1663
7627,7627.0,2018-02-23,b'korona du\xc5\x84ska',DKK,0.5549,0.5661
7628,7628.0,2018-02-23,b'korona norweska',NOK,0.4278,0.4364
7629,7629.0,2018-02-23,b'korona szwedzka',SEK,0.4111,0.4195
7630,7630.0,2018-02-23,b'SDR (MFW)',XDR,4.8746,4.973
7631,7631.0,2018-02-26,b'dolar ameryka\xc5\x84ski',USD,3.3561,3.4239
7632,7632.0,2018-02-26,b'dolar australijski',AUD,2.6335,2.6867
7633,7633.0,2018-02-26,b'dolar kanadyjski',CAD,2.6460000000000004,2.6994
7634,7634.0,2018-02-26,b'euro',EUR,4.1292,4.2126
7635,7635.0,2018-02-26,b'forint (W\xc4\x99gry)',HUF,0.013165000000000001,0.013431
7636,7636.0,2018-02-26,b'frank szwajcarski',CHF,3.5808,3.6532
7637,7637.0,2018-02-26,b'funt szterling',GBP,4.6856,4.7802
7638,7638.0,2018-02-26,b'jen (Japonia)',JPY,0.031383999999999995,0.032018
7639,7639.0,2018-02-26,b'korona czeska',CZK,0.1627,0.1659
7640,7640.0,2018-02-26,b'korona du\xc5\x84ska',DKK,0.5546,0.5658
7641,7641.0,2018-02-26,b'korona norweska',NOK,0.4289,0.4375
7642,7642.0,2018-02-26,b'korona szwedzka',SEK,0.4111,0.4195
7643,7643.0,2018-02-26,b'SDR (MFW)',XDR,4.8701,4.9685
7644,7644.0,2018-02-27,b'dolar ameryka\xc5\x84ski',USD,3.3634,3.4314
7645,7645.0,2018-02-27,b'dolar australijski',AUD,2.6319,2.6851
7646,7646.0,2018-02-27,b'dolar kanadyjski',CAD,2.642,2.6954
7647,7647.0,2018-02-27,b'euro',EUR,4.1283,4.2117
7648,7648.0,2018-02-27,b'forint (W\xc4\x99gry)',HUF,0.013147,0.013413
7649,7649.0,2018-02-27,b'frank szwajcarski',CHF,3.5809,3.6533
7650,7650.0,2018-02-27,b'funt szterling',GBP,4.6745,4.7689
7651,7651.0,2018-02-27,b'jen (Japonia)',JPY,0.031370999999999996,0.032005
7652,7652.0,2018-02-27,b'korona czeska',CZK,0.1625,0.1657
7653,7653.0,2018-02-27,b'korona du\xc5\x84ska',DKK,0.5544,0.5656
7654,7654.0,2018-02-27,b'korona norweska',NOK,0.4293,0.4379
7655,7655.0,2018-02-27,b'korona szwedzka',SEK,0.4101,0.4183
7656,7656.0,2018-02-27,b'SDR (MFW)',XDR,4.8689,4.9673
7657,7657.0,2018-02-28,b'dolar ameryka\xc5\x84ski',USD,3.3875,3.4559
7658,7658.0,2018-02-28,b'dolar australijski',AUD,2.6408,2.6942
7659,7659.0,2018-02-28,b'dolar kanadyjski',CAD,2.6468,2.7002
7660,7660.0,2018-02-28,b'euro',EUR,4.1357,4.2193
7661,7661.0,2018-02-28,b'forint (W\xc4\x99gry)',HUF,0.013171,0.013437000000000001
7662,7662.0,2018-02-28,b'frank szwajcarski',CHF,3.5877,3.6601
7663,7663.0,2018-02-28,b'funt szterling',GBP,4.6778,4.7724
7664,7664.0,2018-02-28,b'jen (Japonia)',JPY,0.031629000000000004,0.032267000000000004
7665,7665.0,2018-02-28,b'korona czeska',CZK,0.1629,0.1661
7666,7666.0,2018-02-28,b'korona du\xc5\x84ska',DKK,0.5554,0.5666
7667,7667.0,2018-02-28,b'korona norweska',NOK,0.4301,0.4387
7668,7668.0,2018-02-28,b'korona szwedzka',SEK,0.409,0.4172
7669,7669.0,2018-02-28,b'SDR (MFW)',XDR,4.8795,4.9781
7670,7670.0,2018-03-01,b'dolar ameryka\xc5\x84ski',USD,3.4073,3.4761
7671,7671.0,2018-03-01,b'dolar australijski',AUD,2.6353,2.6885
7672,7672.0,2018-03-01,b'dolar kanadyjski',CAD,2.6516,2.7052
7673,7673.0,2018-03-01,b'euro',EUR,4.1473,4.2311
7674,7674.0,2018-03-01,b'forint (W\xc4\x99gry)',HUF,0.013217,0.013484999999999999
7675,7675.0,2018-03-01,b'frank szwajcarski',CHF,3.5981,3.6707
7676,7676.0,2018-03-01,b'funt szterling',GBP,4.6817,4.7763
7677,7677.0,2018-03-01,b'jen (Japonia)',JPY,0.031883,0.032527
7678,7678.0,2018-03-01,b'korona czeska',CZK,0.1632,0.1664
7679,7679.0,2018-03-01,b'korona du\xc5\x84ska',DKK,0.5569,0.5681
7680,7680.0,2018-03-01,b'korona norweska',NOK,0.4305,0.4391
7681,7681.0,2018-03-01,b'korona szwedzka',SEK,0.4101,0.4183
7682,7682.0,2018-03-01,b'SDR (MFW)',XDR,4.9096,5.0088
7683,7683.0,2018-03-02,b'dolar ameryka\xc5\x84ski',USD,3.3737,3.4419
7684,7684.0,2018-03-02,b'dolar australijski',AUD,2.6133,2.6661
7685,7685.0,2018-03-02,b'dolar kanadyjski',CAD,2.6187,2.6717
7686,7686.0,2018-03-02,b'euro',EUR,4.1544,4.2384
7687,7687.0,2018-03-02,b'forint (W\xc4\x99gry)',HUF,0.013238999999999999,0.013507
7688,7688.0,2018-03-02,b'frank szwajcarski',CHF,3.6043,3.6771
7689,7689.0,2018-03-02,b'funt szterling',GBP,4.646,4.7398
7690,7690.0,2018-03-02,b'jen (Japonia)',JPY,0.032022,0.032668
7691,7691.0,2018-03-02,b'korona czeska',CZK,0.1633,0.1667
7692,7692.0,2018-03-02,b'korona du\xc5\x84ska',DKK,0.5578,0.569
7693,7693.0,2018-03-02,b'korona norweska',NOK,0.4316,0.4404
7694,7694.0,2018-03-02,b'korona szwedzka',SEK,0.4081,0.4163
7695,7695.0,2018-03-02,b'SDR (MFW)',XDR,4.9275,5.0271
7696,7696.0,2018-03-05,b'dolar ameryka\xc5\x84ski',USD,3.3713,3.4395
7697,7697.0,2018-03-05,b'dolar australijski',AUD,2.6083,2.6609
7698,7698.0,2018-03-05,b'dolar kanadyjski',CAD,2.5979,2.6503
7699,7699.0,2018-03-05,b'euro',EUR,4.1548,4.2388
7700,7700.0,2018-03-05,b'forint (W\xc4\x99gry)',HUF,0.013231999999999999,0.0135
7701,7701.0,2018-03-05,b'frank szwajcarski',CHF,3.5946,3.6672
7702,7702.0,2018-03-05,b'funt szterling',GBP,4.6589,4.7531
7703,7703.0,2018-03-05,b'jen (Japonia)',JPY,0.031865,0.032508999999999996
7704,7704.0,2018-03-05,b'korona czeska',CZK,0.1635,0.1669
7705,7705.0,2018-03-05,b'korona du\xc5\x84ska',DKK,0.5579999999999999,0.5692
7706,7706.0,2018-03-05,b'korona norweska',NOK,0.4304,0.439
7707,7707.0,2018-03-05,b'korona szwedzka',SEK,0.4081,0.4163
7708,7708.0,2018-03-05,b'SDR (MFW)',XDR,4.8933,4.9921
7709,7709.0,2018-03-06,b'dolar ameryka\xc5\x84ski',USD,3.3402,3.4076
7710,7710.0,2018-03-06,b'dolar australijski',AUD,2.6109,2.6637
7711,7711.0,2018-03-06,b'dolar kanadyjski',CAD,2.5881,2.6403
7712,7712.0,2018-03-06,b'euro',EUR,4.1403,4.2239
7713,7713.0,2018-03-06,b'forint (W\xc4\x99gry)',HUF,0.013227000000000001,0.013494999999999998
7714,7714.0,2018-03-06,b'frank szwajcarski',CHF,3.5595,3.6315
7715,7715.0,2018-03-06,b'funt szterling',GBP,4.6421,4.7359
7716,7716.0,2018-03-06,b'jen (Japonia)',JPY,0.031495,0.032131
7717,7717.0,2018-03-06,b'korona czeska',CZK,0.1631,0.1663
7718,7718.0,2018-03-06,b'korona du\xc5\x84ska',DKK,0.5558,0.5670000000000001
7719,7719.0,2018-03-06,b'korona norweska',NOK,0.4293,0.4379
7720,7720.0,2018-03-06,b'korona szwedzka',SEK,0.406,0.4142
7721,7721.0,2018-03-06,b'SDR (MFW)',XDR,4.8781,4.9767
7722,7722.0,2018-03-07,b'dolar ameryka\xc5\x84ski',USD,3.3425,3.4101
7723,7723.0,2018-03-07,b'dolar australijski',AUD,2.6149,2.6677
7724,7724.0,2018-03-07,b'dolar kanadyjski',CAD,2.5866,2.6388
7725,7725.0,2018-03-07,b'euro',EUR,4.1482,4.232
7726,7726.0,2018-03-07,b'forint (W\xc4\x99gry)',HUF,0.013297,0.013565
7727,7727.0,2018-03-07,b'frank szwajcarski',CHF,3.5479,3.6195
7728,7728.0,2018-03-07,b'funt szterling',GBP,4.6403,4.7341
7729,7729.0,2018-03-07,b'jen (Japonia)',JPY,0.031561,0.032199
7730,7730.0,2018-03-07,b'korona czeska',CZK,0.1633,0.1665
7731,7731.0,2018-03-07,b'korona du\xc5\x84ska',DKK,0.5568,0.568
7732,7732.0,2018-03-07,b'korona norweska',NOK,0.4284,0.43700000000000006
7733,7733.0,2018-03-07,b'korona szwedzka',SEK,0.4061,0.4143
7734,7734.0,2018-03-07,b'SDR (MFW)',XDR,4.8601,4.9583
7735,7735.0,2018-03-08,b'dolar ameryka\xc5\x84ski',USD,3.3709,3.4391
7736,7736.0,2018-03-08,b'dolar australijski',AUD,2.6278,2.6808
7737,7737.0,2018-03-08,b'dolar kanadyjski',CAD,2.6092,2.662
7738,7738.0,2018-03-08,b'euro',EUR,4.1629,4.2471
